                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                      0,                 16.058,                      0,                      0,                      0,                      0,                      0,                 1.3166,                 2.2266,                 1.3084,                      0,                      0,                      0
                      2,                      0,                 16.082,                      0,                      0,                      0,                      0,                      0,                 1.3623,                 2.2539,                 1.3595,             8.1901e-06,             8.1901e-06,             8.1901e-06
                      3,                      0,                 16.027,                      0,                      0,                      0,                      0,                      0,                 1.4195,                 2.2988,                 1.4192,              1.458e-05,              1.458e-05,              1.458e-05
                      4,                      0,                 16.071,                      0,                      0,                      0,                      0,                      0,                 1.5267,                 2.3731,                 1.5307,             1.9171e-05,             1.9171e-05,             1.9171e-05
                      5,                      0,                 16.038,                      0,                      0,                      0,                      0,                      0,                 1.5267,                 2.3731,                 1.5307,             2.1961e-05,             2.1961e-05,             2.1961e-05
                      6,                      0,                 16.013,                      0,                      0,                      0,                      0,                      0,                 1.6119,                 2.4394,                 1.6215,             2.2952e-05,             2.2952e-05,             2.2952e-05
                      7,                      0,                 16.013,                      0,                      0,                      0,                      0,                      0,                 1.6119,                 2.4394,                 1.6215,             2.2143e-05,             2.2143e-05,             2.2143e-05
                      8,                      0,                 16.063,                      0,                      0,                      0,                      0,                      0,                 1.6928,                 2.4981,                 1.7069,             1.9534e-05,             1.9534e-05,             1.9534e-05
                      9,                      0,                 15.999,                      0,                      0,                      0,                      0,                      0,                 1.6928,                 2.4981,                 1.7069,             1.5126e-05,             1.5126e-05,             1.5126e-05
                     10,                      0,                  15.97,                      0,                      0,                      0,                      0,                      0,                 1.7505,                 2.5371,                 1.7684,             8.9173e-06,             8.9173e-06,             8.9173e-06
