                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 6.3087,                 20.397,                 6.6301,                      0,                      0,                      0,                      0,                      0,                  1.291,                      0,                      0,                      0,                      0
                      2,                 1.7932,                  17.37,                  1.819,                      0,                      0,                      0,                      0,                      0,                  1.291,                      0,             8.1901e-06,             8.1901e-06,             8.1901e-06
                      3,                  5.918,                 18.755,                 5.8402,                      0,                      0,                      0,                      0,                      0,                  1.291,                      0,              1.458e-05,              1.458e-05,              1.458e-05
                      4,                 5.5977,                 20.273,                 5.6344,                      0,                      0,                      0,                      0,                      0,                  1.291,                      0,             1.9171e-05,             1.9171e-05,             1.9171e-05
                      5,                 5.3026,                 19.981,                 5.0995,                      0,                      0,                      0,                      0,                      0,                  1.291,                      0,             2.1961e-05,             2.1961e-05,             2.1961e-05
                      6,                 4.3354,                 19.159,                 4.8684,                      0,                      0,                      0,                      0,                      0,                  1.291,                      0,             2.2952e-05,             2.2952e-05,             2.2952e-05
                      7,                   5.78,                 20.438,                 4.7557,                      0,                      0,                      0,                      0,                      0,                  1.291,                      0,             2.2143e-05,             2.2143e-05,             2.2143e-05
                      8,                  3.795,                 18.535,                 4.1847,                      0,                      0,                      0,                      0,                      0,                  1.291,                      0,             1.9534e-05,             1.9534e-05,             1.9534e-05
                      9,                 1.8752,                 17.595,                 1.3706,                      0,                      0,                      0,                      0,                      0,                  1.291,                      0,             1.5126e-05,             1.5126e-05,             1.5126e-05
                     10,                 5.8321,                  18.86,                 4.5411,                      0,                      0,                      0,                      0,                      0,                  1.291,                      0,             8.9173e-06,             8.9173e-06,             8.9173e-06
